Date,Open,High,Low,Close,Adj Close,Volume
2010-01-11,239.949997,243.800003,239.949997,242.809998,173.225708,207900
2010-01-12,241.240005,243.190002,238.470001,238.470001,170.129456,208100
2010-01-13,234.220001,239.949997,234.220001,239.419998,170.807190,203400
2010-01-14,239.169998,240.289993,237.000000,237.899994,169.722839,163900
2010-01-15,237.850006,238.699997,236.160004,238.089996,169.858368,197000
2010-01-19,237.690002,240.860001,234.229996,240.009995,171.228119,187600
2010-01-20,239.000000,239.389999,235.330002,238.259995,169.979645,203000
2010-01-21,240.020004,240.020004,229.880005,230.240005,164.258011,354700
2010-01-22,229.490005,235.679993,222.610001,225.000000,160.519669,282600
2010-01-25,225.440002,228.289993,223.860001,226.460007,161.561310,195600
2010-01-26,224.550003,228.889999,223.500000,224.710007,160.312805,203100
2010-01-27,228.360001,231.130005,218.550003,226.770004,161.782425,560200
2010-01-28,227.000000,228.449997,215.740005,219.639999,156.695755,632900
2010-01-29,224.809998,224.809998,212.660004,213.820007,152.543594,483100
2010-02-01,215.250000,219.229996,215.020004,216.570007,154.505554,426400
2010-02-02,212.850006,216.380005,209.289993,216.000000,154.098877,716700
2010-02-03,215.809998,221.889999,215.050003,220.639999,157.409103,601700
2010-02-04,216.789993,217.619995,210.500000,211.250000,150.710114,540500
2010-02-05,210.440002,212.500000,200.559998,208.789993,148.955109,884900
2010-02-08,209.399994,209.960007,204.610001,204.660004,146.008667,356400
2010-02-09,206.869995,209.369995,205.149994,208.880005,149.019333,564800
2010-02-10,208.130005,212.910004,208.130005,211.130005,150.624527,619400
2010-02-11,210.770004,211.250000,206.110001,207.300003,147.892090,437100
2010-02-12,205.380005,207.160004,202.820007,207.160004,147.792252,396400
2010-02-16,208.300003,210.410004,207.000000,210.410004,150.110901,277100
2010-02-17,210.399994,213.679993,209.949997,213.089996,152.022873,372500
2010-02-18,214.399994,215.240005,211.259995,213.729996,152.479416,350900
2010-02-19,214.250000,216.190002,213.600006,215.509995,153.749298,294800
2010-02-22,217.520004,219.300003,216.039993,217.229996,154.976395,374900
2010-02-23,217.559998,219.210007,214.770004,214.869995,153.292770,276000
2010-02-24,217.250000,218.979996,216.500000,218.360001,155.782547,280500
2010-02-25,216.500000,219.119995,214.589996,218.300003,155.739746,359100
2010-02-26,217.500000,219.850006,217.500000,218.800003,156.096420,302500
2010-03-01,217.910004,219.809998,216.360001,218.000000,155.525757,389700
2010-03-02,219.889999,220.320007,216.410004,216.410004,154.391403,568200
2010-03-03,218.160004,219.220001,214.589996,216.080002,154.155945,500900
2010-03-04,217.910004,217.910004,212.279999,215.839996,154.700729,300600
2010-03-05,217.000000,219.880005,215.460007,219.830002,157.560486,557200
2010-03-08,219.830002,219.830002,216.440002,218.119995,156.334854,293900
2010-03-09,216.990005,218.880005,215.860001,216.970001,155.510620,323100
2010-03-10,217.800003,218.880005,215.389999,215.699997,154.600357,502000
2010-03-11,214.289993,215.460007,209.649994,210.410004,150.808853,730900
2010-03-12,211.979996,213.740005,208.350006,210.000000,150.515015,601600
2010-03-15,209.020004,213.210007,208.649994,212.169998,152.070267,384800
2010-03-16,213.509995,213.509995,210.589996,212.350006,152.199249,290400
2010-03-17,220.000000,226.649994,219.490005,222.800003,159.689209,895300
2010-03-18,223.009995,227.000000,222.270004,225.660004,161.739090,406000
2010-03-19,224.350006,225.990005,221.160004,224.350006,160.800125,514700
2010-03-22,223.000000,225.800003,222.009995,225.699997,161.767746,296900
2010-03-23,225.679993,227.770004,224.800003,227.000000,162.699478,301200
2010-03-24,226.009995,226.919998,223.750000,225.000000,161.265991,327500
